,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t_subj.770,0.301707358688,0.00451761915942,0.293997875434,0.299193083577,0.301089502328,0.30412426191,0.311457648882,0.000559213574001
t_subj.771,0.299389257155,0.000542534924759,0.298226976426,0.29902569637,0.299381915582,0.299799140111,0.300354663112,5.01148947905e-05
t_subj.772,0.299451104989,0.00406897459327,0.288157004515,0.297854854614,0.299825095083,0.301597628972,0.307171488829,0.000497337563945
t_subj.773,0.300337760715,0.00374801499794,0.29022028534,0.298564869711,0.300714261513,0.302541113872,0.306473928283,0.000456073936845
t_subj.774,0.300586470941,0.00340524453501,0.294046534929,0.29886182237,0.300705992084,0.302300540384,0.307075909028,0.000400241988348
t_subj.775,0.300661650289,0.00361927767121,0.294023561338,0.2989217334,0.30052436189,0.302067102557,0.309620881151,0.000458858321222
t_subj.776,0.300155582192,0.00415982811589,0.292566937813,0.29797205819,0.30037499907,0.30243251464,0.307410970385,0.000513162956934
t_subj.777,0.300530613206,0.00363828608532,0.294350512416,0.298694432846,0.300674149207,0.302189975309,0.306108844244,0.000439561604843
t_subj.778,0.300562507806,0.00330692509292,0.29471460379,0.298941807533,0.300729581394,0.301910017778,0.308939155581,0.000407956622468
t_subj.779,0.300167573053,0.00322694380888,0.29295959078,0.298815225724,0.30043630494,0.301683954883,0.305319359923,0.000387904345116
t_subj.780,0.300803693519,0.00332869759929,0.293640408924,0.298907554957,0.300915306512,0.302203728026,0.308268023614,0.000409971172808
t_subj.781,0.301501811597,0.00413076795651,0.29385952356,0.299531625061,0.301147790481,0.302667178047,0.313677985655,0.000516741271096
t_subj.782,0.300365297093,0.00303982271119,0.294524014336,0.299108384705,0.30053918458,0.302242823747,0.306169669995,0.000375892594787
t_subj.783,0.29869676666,0.00404285368315,0.287639976882,0.297255966971,0.299575208204,0.301222858887,0.303985965058,0.000492642023756
t_subj.784,0.300966310709,0.00374595668899,0.293460615391,0.298909534331,0.300815735684,0.302487543785,0.308054848584,0.000461357021798
t_subj.785,0.300698398902,0.0033073260489,0.294493953534,0.298698769826,0.300553884524,0.302313213914,0.307830204483,0.000399494611542
