,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
0,75.0,0.0,0.004927571561216528,-0.0008219038594441574,0.074,0.019,0.023
1,75.0,1.0000000000000009,0.1673487959487521,-0.2079242036255527,0.504,0.156,0.233
2,75.0,2.0000000000000018,0.3335133577571406,-0.3891471685609323,0.906,0.533,0.672
3,75.0,2.9999999999999982,0.5043229784767699,-0.5702892349819486,0.995,0.873,0.946
4,75.0,3.9999999999999987,0.682051479839832,-0.7550539883568205,1.0,0.99,0.997
