,experiment_number,sample_size,groupA_RT_mean,groupB_RT_mean,groupA_Acc_mean,groupB_Acc_mean,RT_effect_size,Acc_effect_size,Drift_effect_size,p_value_RTs,p_value_Acc,p_value_Drift,seed
0,0.0,10.0,1.0806400248536208,1.0010305705627718,0.8775000000000001,0.8574999999999999,0.6823763825917868,0.4495611895592158,0.0,0.14442896754728085,-0.3280999835881606,1.3294117647058823,0.0
1,1.0,10.0,1.121214642771627,0.9571141374303546,0.89,0.8800000000000001,2.619197690735227,0.194665705356913,0.0,1.5133854374466392e-05,-0.6685295499932591,0.2823529411764706,1.0
2,2.0,10.0,1.0605820440243021,0.9550783274294045,0.905,0.8649999999999999,0.7939934114608972,0.8621054497285228,0.0,0.09273835419955717,-0.06981928738223117,1.411764705882353,2.0
3,3.0,10.0,1.0686355285499194,0.9736010794526736,0.8675,0.89,1.0807066429671357,-0.4613531351670502,0.0,0.026510765300954035,0.31591452594525843,0.16470588235294117,3.0
4,4.0,10.0,1.0277974934957208,1.03865199917353,0.8825,0.8625,-0.09618095145611798,0.3350831266333548,0.0,-0.832132906335034,-0.4633756433979067,1.6588235294117648,4.0
5,5.0,10.0,0.9751266239946428,1.018989405493827,0.9075,0.8350000000000002,-0.4354619050147135,1.6980661269304427,0.0,-0.3430992204938702,-0.001320212231757786,2.0,5.0
6,6.0,10.0,1.0807133335564072,1.0032683815625327,0.8825000000000001,0.8699999999999999,0.6924604914711846,0.26171196129511054,0.0,0.13893109286962183,-0.5656742675493636,1.2117647058823529,6.0
7,7.0,10.0,1.0251117903334481,1.025074646215973,0.8825000000000001,0.8575000000000002,0.0005554458108185912,0.47374983139114735,0.0,0.9990226775724005,-0.30345548938710004,1.4,7.0
8,8.0,10.0,1.10761087737622,0.9389934919510032,0.86,0.8875,1.9091974349266347,-0.5542501510160089,0.0,0.0004616805640333695,0.23113589111264263,0.0,8.0
9,9.0,10.0,1.0235982568310558,0.9593106988033367,0.8925000000000001,0.89,0.7199426913494182,0.049153915231143576,0.0,0.1248297339711001,-0.913695711629555,0.3764705882352941,9.0
10,10.0,10.0,1.061334386458595,0.9785363165511786,0.8825,0.8525,0.7513883250360037,0.49218186745775616,0.0,0.11019883944948021,-0.2855923626697563,1.1647058823529413,10.0
11,11.0,10.0,1.0570607838094819,1.0326623747203818,0.8775000000000001,0.8875,0.23106131067345678,-0.1637548242284789,0.0,0.6116772225248968,0.718508850495343,0.6705882352941176,11.0
12,12.0,10.0,1.1128309815591393,0.9879502483114297,0.8975000000000002,0.86,1.0098997201547932,0.8407177188108509,0.0,0.036586859338820964,-0.07640726477729058,0.3176470588235294,12.0
13,13.0,10.0,1.0239957528979988,1.0121401328305033,0.8550000000000001,0.9099999999999999,0.12044363239753372,-1.0850333162153551,0.0,0.7907463093830596,0.025988067694861065,0.047058823529411764,13.0
14,14.0,10.0,1.1081241017398102,1.0088900095188675,0.8699999999999999,0.89,0.6870798345838194,-0.374817028532657,0.0,0.14184250711839477,0.41295672917608095,0.08235294117647059,14.0
15,15.0,10.0,1.009399905645925,1.006715603408836,0.8424999999999999,0.8625,0.02330037735343828,-0.2992993373073157,0.0,0.9590218931821317,0.5118272844234758,0.49411764705882355,15.0
16,16.0,10.0,1.0881139174199712,0.9672205647537533,0.875,0.8225000000000001,1.5170860136762,1.141686592661078,0.0,0.0032463411437005656,-0.01997871238415374,1.8941176470588235,16.0
17,17.0,10.0,1.0283815491731052,1.026404916839795,0.8975,0.8825,0.02183441991607645,0.2558408596267328,0.0,0.9615978217389005,-0.5743453462545599,1.5176470588235293,17.0
18,18.0,10.0,1.0720524189566407,1.0061396586833522,0.8799999999999999,0.8625000000000002,0.645097587534041,0.3164071860403562,0.0,0.166342026446086,-0.48831101405417177,1.1411764705882352,18.0
19,19.0,10.0,1.0262270999414032,0.9833369003977624,0.8625,0.8775000000000001,0.3656643298272324,-0.2527950265408462,0.0,0.4242484912669653,0.5788705249032736,0.9294117647058824,19.0
20,20.0,10.0,1.0764945429332768,0.994811726816275,0.885,0.875,0.8221092450720914,0.22206996305928176,0.0,0.0825803489751795,-0.6255065770539772,0.9176470588235294,20.0
21,21.0,10.0,1.0960905497180826,0.9854744626155663,0.8875,0.8775000000000001,1.039623756523406,0.1702170469087908,0.0,0.03198749339137462,-0.7079421092068415,0.5058823529411764,21.0
22,22.0,10.0,1.07833679970638,1.0219358152661349,0.86,0.8275,0.7608054920529854,0.6932306401041044,0.0,0.10611332119482994,-0.13851848477189216,1.7411764705882353,22.0
23,23.0,10.0,1.0011985936608316,0.999951548941989,0.8525,0.8799999999999999,0.01794793213427527,-0.620875773133171,0.0,0.9684290489899434,0.18198319480407651,0.17647058823529413,23.0
24,24.0,10.0,1.062977727817744,1.0678216475973192,0.8925000000000001,0.8825,-0.042464745013807634,0.17673834478196784,0.0,-0.9254004046169313,-0.6973402898557145,1.2352941176470589,24.0
25,25.0,10.0,1.0484306692454137,1.0381852275109993,0.8950000000000001,0.8625,0.1087927433974566,0.5354536864471837,0.0,0.8105485679294782,-0.24671599859593268,1.6,25.0
26,26.0,10.0,1.0205348228807207,1.0376705461404432,0.9049999999999999,0.865,-0.2078540133483485,0.7319931375965008,0.0,-0.6476649322393186,-0.11903895938636204,1.8235294117647058,26.0
27,27.0,10.0,1.0769956253678887,1.0310644704231888,0.8724999999999999,0.8625,0.4308147815572071,0.19045219952068354,0.0,0.34814566726069207,-0.6752556203464095,1.4470588235294117,27.0
28,28.0,10.0,1.0508098037043,1.0070129844904876,0.8549999999999999,0.8975,0.6187551694430867,-0.8246211251235338,0.0,0.18340722439479637,0.08172222507120905,0.0,28.0
29,29.0,10.0,1.0000373932544218,0.9879924155545832,0.875,0.86,0.13008924172800865,0.2874944542499733,0.0,0.7744618454107275,-0.5284215477152343,1.1647058823529413,29.0
30,30.0,10.0,1.086487915506566,1.0085663621359555,0.8775000000000001,0.8675,0.6420692888695632,0.19339751136609143,0.0,0.1682355881925168,-0.6705509810460555,0.6941176470588235,30.0
