,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
30,40.0,6.000000000000001,1.5469297242214481,-0.8293435657398264,1.0,1.0,0.95
31,40.0,7.999999999999997,1.8650877528841656,-1.1305974014420848,1.0,1.0,1.0
32,40.0,10.0,2.2159943346009428,-1.4879779918679605,1.0,1.0,1.0
33,40.0,12.000000000000002,2.5758752187336955,-1.661847541091235,1.0,1.0,1.0
34,40.0,13.999999999999998,2.899322457156453,-1.920120415059977,1.0,1.0,1.0
35,40.0,16.0,3.192425878896428,-2.1711988002334617,1.0,1.0,1.0
36,50.0,0.0,0.5943304653954502,0.2517215931711754,0.05,0.78,0.0
37,50.0,2.0000000000000018,0.9286983416966618,-0.15783807584463383,0.76,1.0,0.08
38,50.0,3.9999999999999987,1.2175270444566424,-0.5256056932203359,0.99,1.0,0.73
39,50.0,6.000000000000001,1.5711503728362064,-0.8504839742331665,1.0,1.0,0.98
40,50.0,7.999999999999997,1.9422321371915188,-1.1700864755247822,1.0,1.0,1.0
41,50.0,10.0,2.2571440801841143,-1.4398724160477057,1.0,1.0,1.0
42,50.0,12.000000000000002,2.5953791424454526,-1.6738193496537337,1.0,1.0,1.0
43,50.0,13.999999999999998,2.9269953633788743,-1.891467535632184,1.0,1.0,1.0
44,50.0,16.0,3.1928595681210488,-2.1497528757146767,1.0,1.0,1.0
45,75.0,0.0,0.5900356351528525,0.22075239133181188,0.05,0.95,0.0
46,75.0,2.0000000000000018,0.9111278831891224,-0.16745565528232206,0.88,1.0,0.11
47,75.0,3.9999999999999987,1.244224770952799,-0.5288433610655048,1.0,1.0,0.96
48,75.0,6.000000000000001,1.5788215782604405,-0.8602957709129277,1.0,1.0,1.0
49,75.0,7.999999999999997,1.9057521953394068,-1.146697313803078,1.0,1.0,1.0
50,75.0,10.0,2.1918414876440178,-1.4377635023565225,1.0,1.0,1.0
51,75.0,12.000000000000002,2.568874197855231,-1.6911407492139785,1.0,1.0,1.0
52,75.0,13.999999999999998,2.8669754003139793,-1.9030413904044357,1.0,1.0,1.0
53,75.0,16.0,3.1521775558807428,-2.0897226839363565,1.0,1.0,1.0
54,100.0,0.0,0.6090501056981927,0.2097998072468832,0.03,0.99,0.0
55,100.0,2.0000000000000018,0.8930785196565095,-0.1632387097211966,0.91,1.0,0.19
56,100.0,3.9999999999999987,1.216415038263926,-0.5404951693369691,1.0,1.0,0.98
57,100.0,6.000000000000001,1.549978393449243,-0.8857002713646257,1.0,1.0,1.0
58,100.0,7.999999999999997,1.8890680370124266,-1.173566942595853,1.0,1.0,1.0
59,100.0,10.0,2.217012700637345,-1.4014770996845534,1.0,1.0,1.0
60,100.0,12.000000000000002,2.551432101779219,-1.6837706727473607,1.0,1.0,1.0
61,100.0,13.999999999999998,2.8598498399381906,-1.9086066183572128,1.0,1.0,1.0
62,100.0,16.0,3.1805523269839777,-2.092610591554403,1.0,1.0,1.0
63,150.0,0.0,0.5658159722643237,0.2080008836288895,0.02,1.0,0.0
64,150.0,2.0000000000000018,0.8960892097370816,-0.16892556310512433,0.98,1.0,0.27
65,150.0,3.9999999999999987,1.2292494885693335,-0.5210083348498543,1.0,1.0,1.0
66,150.0,6.000000000000001,1.5351822220743871,-0.8794279407310759,1.0,1.0,1.0
67,150.0,7.999999999999997,1.9019824541912849,-1.1542406618772345,1.0,1.0,1.0
68,150.0,10.0,2.2059037456155774,-1.421535512611104,1.0,1.0,1.0
69,150.0,12.000000000000002,2.5543726999495306,-1.6562176995009523,1.0,1.0,1.0
70,150.0,13.999999999999998,2.8612795871064503,-1.9027200875328032,1.0,1.0,1.0
71,150.0,16.0,3.171589550871723,-2.074926496625884,1.0,1.0,1.0
