,experiment_number,sample_size,p_value_RTs,p_value_Acc,p_value_Drift
74,24,20,0.0533784173992,0.00257290245336,8.80430425791e-06
75,25,20,0.290727946273,0.00398451626505,6.51529165425e-05
76,26,20,0.419799182867,0.0122023337936,5.91124038097e-11
77,27,20,0.778699186784,0.0384429628522,5.56664291168e-05
78,28,20,0.413794971523,0.0169275328142,0.000101939034021
79,29,20,0.874239683856,0.254519978787,0.0639268008274
80,30,20,0.0416972424961,0.0990342713558,2.54835876793e-10
81,31,20,0.350724846615,0.163442772638,0.0873363605375
82,32,20,0.0382130921234,0.0849268251237,0.00179159099448
83,33,20,0.29349671533,0.747125193557,0.076071416645
84,34,20,0.977050001263,0.00168641600764,1.3760922871e-27
85,35,20,0.507157190233,0.652092793245,0.195980825123
86,36,20,0.00793488366172,0.00130187638287,6.14731561542e-10
87,37,20,0.351215803107,0.0605202246039,0.000485918635845
88,38,20,0.803455886435,0.117409877474,0.0982119629982
89,39,20,0.871948914901,0.0373141169388,0.00787536131733
90,40,20,0.00328405846041,0.098637912418,1.63818944245e-10
91,41,20,0.106382836908,0.00762268617381,7.6887519563e-07
92,42,20,0.843782581517,0.064397314559,0.000164413787599
93,43,20,0.197486957815,0.00169296906846,2.5670592792e-10
94,44,20,0.743664732266,0.0247111884879,2.55765870303e-05
95,45,20,0.13706053934,0.146867024147,0.000856528594871
96,46,20,0.0552970184347,0.00694610791703,3.67959945449e-07
97,47,20,0.0119282890792,0.0450734243118,1.85372424557e-05
98,48,20,0.00125643311359,0.0751019553079,4.0932389605e-05
99,49,20,0.0142756227983,0.00263488385336,4.163548726e-14
100,0,30,0.0363168654808,0.00378469066445,1.09512709505e-08
101,1,30,0.252813055054,2.02140323138e-05,1.12061639806e-11
102,2,30,0.423919313709,0.00397316833721,5.90236186278e-06
103,3,30,0.148355226056,0.00157856994709,2.21835101904e-08
104,4,30,0.0371722942523,0.00160793568994,9.60961472002e-09
105,5,30,0.00160354749979,0.000778288988526,3.48846089516e-12
106,6,30,0.00219226752663,0.0163918783478,4.63640749266e-07
107,7,30,0.209497914071,0.000183669789227,1.05354350932e-07
108,8,30,0.159637092861,0.000135455345571,9.93061350772e-12
109,9,30,0.801168276087,0.00184716244804,6.18070461323e-07
110,10,30,0.0346608192433,6.9524858401e-05,7.57410750891e-13
111,11,30,0.575953450446,5.75459969123e-05,4.38709830667e-10
112,12,30,0.0421190641004,0.0869244779172,0.00135394028225
113,13,30,0.224096686507,9.67424049983e-06,7.91579412577e-27
114,14,30,0.892434283928,0.264070431655,0.0550401208338
115,15,30,0.00405358115178,0.00244210166915,8.77327398287e-08
116,16,30,0.0452099860607,0.000347238932144,1.01642010365e-13
117,17,30,0.0127474828768,0.000267662629099,2.14390029504e-08
118,18,30,0.510077830788,0.000400922913541,1.06861699401e-08
119,19,30,0.0884002884798,0.0342901574468,0.00157965932321
120,20,30,0.237850350912,0.00249632826034,1.56025277471e-09
121,21,30,0.340273212286,0.475606175748,0.00845607566551
122,22,30,0.0575517077881,0.00134719526929,1.16387521839e-08
123,23,30,0.0183235548701,0.0169840923352,2.25501969164e-05
124,24,30,0.0706515262182,5.54431061897e-07,2.19222615969e-16
125,25,30,0.243773709335,0.0141244972301,1.46446230252e-05
126,26,30,0.000836987682645,1.22218086121e-05,2.16021448664e-14
127,27,30,0.0223075899219,0.040576623811,0.000534014669584
128,28,30,0.0140549148128,0.0167921817121,6.85588819854e-08
129,29,30,0.0514429359692,2.06478931611e-06,1.26489064688e-16
130,30,30,0.639968537596,0.0393674879839,0.000912757726551
131,31,30,0.0353767774121,0.000155044497498,4.80238795322e-09
132,32,30,0.010538425286,0.00153049913391,8.73316066871e-12
133,33,30,0.353899044156,0.00491854101505,8.71652828571e-06
