,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
0,40.0,0.0,0.00544102110815498,-0.0028855508782809664,0.121,0.018,0.023
1,40.0,1.0000000000000009,0.1687959122387149,-0.21228399599079048,0.458,0.104,0.159
2,40.0,2.0000000000000018,0.33611049410735266,-0.39333756943763776,0.823,0.307,0.402
3,40.0,2.9999999999999982,0.5096387826372335,-0.5785322490426529,0.973,0.605,0.721
4,40.0,3.9999999999999987,0.6923984445201237,-0.7628765541052364,0.998,0.862,0.914
5,40.0,12.000000000000002,2.106335753993093,-1.8720741499940394,1.0,1.0,1.0
6,75.0,0.0,0.01029663617904837,0.0008217163830493544,0.152,0.024,0.018
7,75.0,1.0000000000000009,0.15871404979470238,-0.2006019000048918,0.603,0.146,0.205
8,75.0,2.0000000000000018,0.32977061637140825,-0.39323726565483674,0.947,0.524,0.657
