,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(groupA).20,2.57784819553,0.171725008793,2.26097861532,2.46041399587,2.57061844641,2.69249411757,2.92889991068,0.00253343988187
a_subj(groupA).21,0.118720489932,0.00821287915299,0.103629328343,0.113127075002,0.118355619601,0.123949750731,0.136094545461,0.000164648993386
a_subj(groupA).22,2.15285084495,0.147622989972,1.87830192534,2.05263375304,2.1449278377,2.24941683071,2.45692256018,0.00207981501485
a_subj(groupA).23,3.42972242486,0.246137595205,2.96841484964,3.26591597457,3.42491279567,3.58902696355,3.93716541825,0.00399823526751
a_subj(groupA).24,2.57163752422,0.175892500073,2.2489158051,2.44838024818,2.56537007164,2.68547064615,2.94044256982,0.00246341300834
a_subj(groupA).25,3.05314684284,0.226744461114,2.62314118785,2.89761666807,3.04785355845,3.20123273873,3.5202560917,0.00348302261718
a_subj(groupA).26,1.40213528599,0.087629263024,1.23899816177,1.33975186216,1.40015115618,1.46019212448,1.58161972862,0.0014517639891
a_subj(groupA).27,3.06310639822,0.219533077777,2.64860705643,2.90816170773,3.06180735653,3.21039398318,3.49639350676,0.00342757565633
a_subj(groupA).28,3.68698343929,0.271085987555,3.18012326283,3.50757558791,3.67587227992,3.86487351373,4.24206212626,0.00401131747169
a_subj(groupA).29,2.06567078718,0.138069254763,1.80846240394,1.97003586111,2.06156234728,2.15721878956,2.34665872253,0.00195103904812
a_subj(groupA).30,2.33336770473,0.167515487458,2.02283794375,2.21651433684,2.32810766752,2.4481822876,2.6713603603,0.00237922791129
a_subj(groupA).31,1.34663711072,0.0806461832227,1.19654749391,1.29115972582,1.34355631865,1.40064762895,1.50975421737,0.00110387654513
a_subj(groupA).32,3.28488999047,0.239494117721,2.8400801647,3.11635987524,3.27812530514,3.44681915549,3.7767364672,0.00359142058586
a_subj(groupA).33,2.11997261024,0.136475818638,1.86774005541,2.02454867174,2.11758995309,2.21212288443,2.39884302094,0.00199749592137
a_subj(groupA).34,2.05341709238,0.127098510655,1.80897178164,1.96598701429,2.05071344055,2.13843889195,2.31591302109,0.00188147169326
a_subj(groupA).35,3.29805490236,0.242475650827,2.84718755521,3.12906756245,3.29027255593,3.45995606462,3.80648280707,0.00325190203676
a_subj(groupA).36,2.11797416284,0.131601724854,1.86963417937,2.02833948752,2.11324032448,2.20586977111,2.38407320616,0.00190744438224
a_subj(groupA).37,1.95956916194,0.131642347921,1.71019265493,1.87204104943,1.95525432417,2.04563224773,2.22387740411,0.00175995339431
a_subj(groupA).38,2.86338144935,0.199588824325,2.49680534443,2.72664358327,2.85751107306,2.99703635875,3.26745136188,0.0028581331415
a_subj(groupA).39,1.66833801526,0.101680302521,1.4774316302,1.59795446149,1.66517658629,1.73674603908,1.87208205415,0.00127714887792
a_subj(groupA).40,3.5437907473,0.254032853612,3.06432276435,3.3635505171,3.54231227809,3.71714140144,4.05843524889,0.00443592231478
a_subj(groupA).41,3.9090805576,0.27835098834,3.36559793113,3.71831022165,3.90414021921,4.09617625391,4.44530196559,0.00410725537359
a_subj(groupA).42,1.47706108557,0.0992262609181,1.289026394,1.40854726786,1.47444822659,1.54126197432,1.67857898585,0.00137409049674
a_subj(groupA).43,1.17520078299,0.0694028334976,1.04461706135,1.12728250011,1.1743420048,1.22013400202,1.3182127882,0.00106373280273
a_subj(groupA).44,2.32555510204,0.148696831792,2.04682366463,2.22155833956,2.32332173169,2.42407468954,2.62597428071,0.00223301988205
a_subj(groupA).45,1.68875583452,0.111560465046,1.48359205602,1.61014099736,1.68633847036,1.76112554696,1.9170255517,0.00165928123587
a_subj(groupA).46,2.54276878658,0.179151506125,2.20092154303,2.41694805374,2.53954306969,2.66274779998,2.90311000192,0.00266603733604
a_subj(groupA).47,2.44286437397,0.163583604916,2.13874732846,2.32742877395,2.44002275864,2.55254936049,2.77661183865,0.00247020126297
a_subj(groupA).48,3.07974602438,0.212371788882,2.6771532857,2.93518029624,3.07485391993,3.22081422882,3.51624810879,0.00324214758088
a_subj(groupA).49,1.83494259618,0.116351462324,1.61189193836,1.75437745059,1.83329599845,1.91300542445,2.06808554469,0.0015145296135
a_subj(groupA).50,2.39722897489,0.167981719045,2.0931608561,2.27647809336,2.39088065786,2.51018421603,2.73635040373,0.00228848085636
a_subj(groupA).51,1.74650531163,0.115181241697,1.53524092036,1.66687541604,1.74403207972,1.82173293184,1.98377708547,0.00177477720276
a_subj(groupA).52,0.207109803484,0.0125754487453,0.18417550937,0.198479150419,0.20666558117,0.215524035997,0.23222670334,0.000269067928761
a_subj(groupA).53,1.47344047073,0.0950516781304,1.29244593323,1.40914615426,1.47332938625,1.53407861746,1.66790173288,0.00133343605129
a_subj(groupA).54,1.58176629836,0.099991330154,1.397918446,1.5117571604,1.57759062573,1.64623595366,1.79655274187,0.00124300459143
a_subj(groupA).55,2.50110854974,0.177928774859,2.16587006769,2.37953474637,2.49386642333,2.61808674892,2.8594335542,0.00288691599392
a_subj(groupA).56,2.0899171403,0.136277707856,1.83457300621,1.995249801,2.08750491395,2.18044892204,2.37390274197,0.0017663810254
a_subj(groupA).57,0.975650074736,0.0610466089409,0.861228073795,0.933197150426,0.974471806482,1.01663273956,1.09821913952,0.000839224640086
a_subj(groupA).58,2.95302839508,0.205869149951,2.56006438854,2.8089895088,2.94914366829,3.09348028522,3.36898271866,0.00291654744185
a_subj(groupA).59,1.88228558583,0.13173654676,1.64141710249,1.79182968218,1.87559952391,1.96796624334,2.1594642743,0.00207567354177
