,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
119,90.0,0.0,0.11319436453398615,0.11580042707499905,0.02475,0.018,0.02275
120,90.0,0.4999999999999982,0.12986324290461596,0.13945949672317037,0.1,0.063,0.0835
121,90.0,1.0000000000000009,0.18171618466627992,0.20650994608267934,0.32,0.1755,0.247
122,90.0,1.4999999999999991,0.2543686340843256,0.2985662617640121,0.6345,0.3595,0.4935
123,90.0,2.0000000000000018,0.33415748764984277,0.38847715353960033,0.87075,0.6135,0.74475
124,90.0,2.5,0.4247215248756422,0.4800866683374413,0.971,0.8145,0.898
125,90.0,2.9999999999999982,0.5073102572225041,0.5700165371854243,0.99525,0.933,0.96575
126,90.0,3.5000000000000013,0.5957246653343526,0.6574084559806561,0.9995,0.977,0.9925
127,90.0,3.9999999999999987,0.68502857913322,0.742520965259575,1.0,0.9965,0.99875
128,90.0,5.0,0.8578832998725727,0.9075180824653328,1.0,0.9995,1.0
129,90.0,6.000000000000001,1.0374598176879368,1.0705492482320567,1.0,1.0,1.0
130,90.0,7.999999999999997,1.3952248153234035,1.3589122995454277,1.0,1.0,1.0
131,90.0,10.0,1.7487867031522937,1.6346263320738914,1.0,1.0,1.0
132,90.0,12.000000000000002,2.1012048363928804,1.8597908305598672,1.0,1.0,1.0
133,100.0,0.0,0.10862138730751977,0.11079467928607349,0.023,0.01825,0.02075
134,100.0,0.4999999999999982,0.13208695469814374,0.13832548083103863,0.124,0.0845,0.106
135,100.0,1.0000000000000009,0.1805091092254741,0.20482800467520482,0.36225,0.203,0.28175
136,100.0,1.4999999999999991,0.25319083022439365,0.29787501471700223,0.681,0.4055,0.5505
137,100.0,2.0000000000000018,0.33322453896818627,0.387244015199027,0.897,0.654,0.78325
138,100.0,2.5,0.4291372294913316,0.4804534305297957,0.986,0.8705,0.927
139,100.0,2.9999999999999982,0.511691824565164,0.5677867471443986,0.99825,0.96125,0.97925
140,100.0,3.5000000000000013,0.592011658305579,0.6607238733460186,0.9995,0.992,0.9975
141,100.0,3.9999999999999987,0.6849820445715933,0.7429484540311604,1.0,0.99875,0.999
142,100.0,5.0,0.8626771975759605,0.9183192465494829,1.0,1.0,1.0
143,100.0,6.000000000000001,1.0381557939053314,1.0694070944203726,1.0,1.0,1.0
144,100.0,7.999999999999997,1.3931432694768298,1.3571807790977717,1.0,1.0,1.0
145,100.0,10.0,1.7548075309804283,1.6275087529728527,1.0,1.0,1.0
146,100.0,12.000000000000002,2.0959098075537757,1.8603080846040494,1.0,1.0,1.0
