,experiment_number,sample_size,groupA_RT_mean,groupB_RT_mean,groupA_Acc_mean,groupB_Acc_mean,RT_effect_size,Acc_effect_size,Drift_effect_size,p_value_RTs,p_value_Acc,p_value_Drift,seed
17,17.0,10.0,1.0907783785243308,1.0283815491731052,0.8875,0.8975,0.6672015923467833,-0.17374889710522792,0.0,0.153042077489753,0.7021925055787528,0.49411764705882355,17.0
18,18.0,10.0,1.0626435341904719,1.0720524189566407,0.875,0.8799999999999999,-0.09240242859457945,-0.08770580193070107,0.0,-0.8386273226949361,0.846716354918131,0.8823529411764706,18.0
19,19.0,10.0,1.0445273015796466,1.0262270999414032,0.8825000000000001,0.8625,0.1501175372128193,0.3453326778413729,0.0,0.7409983149789325,-0.45002385499629927,1.2588235294117647,19.0
20,20.0,10.0,1.0535416301300062,1.0764945429332768,0.885,0.885,-0.21810550998360817,0.0,0.0,-0.6316503526884184,-1.0,1.4588235294117646,20.0
21,21.0,10.0,1.0461124194990474,1.0960905497180826,0.8825000000000001,0.8875,-0.4612060463990273,-0.08724100903534392,0.0,-0.3160645131434184,0.8475178408519666,1.1647058823529413,21.0
22,22.0,10.0,1.0807924036881382,1.07833679970638,0.8400000000000001,0.86,0.032952282482605316,-0.40919660368228217,0.0,0.9420748496809619,0.37229150055673166,0.2,22.0
23,23.0,10.0,1.0604666466931767,1.0011985936608316,0.8875,0.8525,0.8220943635844907,0.7706746355884506,0.0,0.08258545639643412,-0.1019721829697435,1.9411764705882353,23.0
24,24.0,10.0,1.136192785101322,1.062977727817744,0.8875,0.8925000000000001,0.6047147226598164,-0.09225312080289062,0.0,0.1930627276742968,0.8388841971127021,1.0235294117647058,24.0
25,25.0,10.0,1.098863650463878,1.0484306692454137,0.8724999999999999,0.8950000000000001,0.5258099401505645,-0.4013788389734732,0.0,0.2550135411517022,0.38129472119106433,0.21176470588235294,25.0
26,26.0,10.0,1.10162521478224,1.0205348228807207,0.8725000000000002,0.9049999999999999,0.9407594513534913,-0.6072291764459832,0.0,0.049738064153189036,0.1913043456686715,0.047058823529411764,26.0
27,27.0,10.0,1.0851363693610252,1.0769956253678887,0.8775000000000001,0.8724999999999999,0.07978813917686946,0.11160979977065122,0.0,0.8603923033904121,-0.8057479572303755,1.2941176470588236,27.0
28,28.0,10.0,1.0625972029971085,1.0508098037043,0.9125,0.8549999999999999,0.17306213069364954,1.0516289007761908,0.0,0.7033090786665933,-0.03028688521651915,2.0,28.0
29,29.0,10.0,1.0443219984017567,1.0000373932544218,0.8724999999999999,0.875,0.4672159178781575,-0.050386377365092945,0.0,0.3099774779484673,0.9115412842965198,0.5882352941176471,29.0
30,30.0,10.0,1.0673302522837624,1.086487915506566,0.8774999999999998,0.8775000000000001,-0.1565559612169408,-4.4470728838139076e-15,0.0,-0.7303491917328332,0.9999999999999922,1.4705882352941178,30.0
31,31.0,10.0,1.0720646308306694,1.047085695552778,0.86,0.885,0.2637814418200722,-0.4905524551257969,0.0,0.5626341694760675,0.2871397740689219,0.2235294117647059,31.0
32,32.0,10.0,1.053415339198152,1.0501266990604203,0.8949999999999999,0.8825,0.0295211471086513,0.2894803666599233,0.0,0.9480964916732448,-0.5256092481227319,1.2352941176470589,32.0
33,33.0,10.0,1.0691696229976075,1.100103750914561,0.89,0.9,-0.2868140264266559,-0.18926408936295372,0.0,-0.5293870281114453,0.6771573444577741,0.7411764705882353,33.0
34,34.0,10.0,1.0796610077280957,1.0568833332069985,0.8425,0.8875,0.20176369630390942,-0.7261581134894912,0.0,0.6572642035244504,0.1218138293236189,0.16470588235294117,34.0
35,35.0,10.0,1.095407567336896,1.053098913923853,0.9099999999999999,0.89,0.3826372305014927,0.3347570115910009,0.0,0.40346336942894945,-0.46380436426230776,0.8,35.0
36,36.0,10.0,1.0168711453232337,1.036848314268795,0.9025000000000001,0.9,-0.20595518886232592,0.047763676798304386,0.0,-0.6506510588742213,-0.9161267680827018,1.611764705882353,36.0
37,37.0,10.0,1.0468593890153266,1.0245904955064953,0.9175000000000001,0.8725000000000002,0.22288517637181032,1.1926604816083408,0.0,0.6242466990754101,-0.015717910839385393,1.9058823529411764,37.0
