,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(groupA).18,1.06287499539,0.0591196337954,0.945764440803,1.02381285247,1.06565152432,1.10080706128,1.19563614118,0.00627539847455
a_subj(groupA).19,1.26808744393,0.0800766932372,1.12133169299,1.20865814977,1.26732081238,1.32360267193,1.43669213179,0.0082658063966
a_subj(groupA).20,3.56283009187,0.271080170436,3.04575575999,3.38848345149,3.563977607,3.73271434967,4.09522930251,0.0261813275249
a_subj(groupA).21,2.69601879904,0.191730352461,2.4010318811,2.54789007048,2.68505471228,2.82299634394,3.12723038523,0.021536511918
a_subj(groupA).22,2.55767029588,0.164013408895,2.24503833369,2.43926049873,2.56225002546,2.64521444865,2.89317057316,0.0173897808122
a_subj(groupA).23,4.23255160677,0.338876711478,3.66175323892,3.97044793827,4.23483917644,4.46421856509,4.91135985935,0.0325844935035
a_subj(groupA).24,1.6048602082,0.114360358226,1.40243235109,1.52708242325,1.59749763878,1.67584263946,1.83522712078,0.0119727535568
a_subj(groupA).25,0.0790649015075,0.00592410229994,0.0699457934198,0.0751666946429,0.078192754537,0.0831063903544,0.0903738755832,0.000561520569561
a_subj(groupA).26,2.09291367122,0.137819729518,1.81071424688,2.00731560885,2.09451429324,2.17281429114,2.38507128183,0.0128024676637
a_subj(groupA).27,0.58983414046,0.0363912179108,0.52613733475,0.564401763101,0.590526497553,0.612460164236,0.656330674191,0.00364431505806
a_subj(groupA).28,2.50142623653,0.184634784857,2.14649855761,2.37623936565,2.49613247942,2.6228041135,2.83876310643,0.018574713953
a_subj(groupA).29,1.20883457254,0.0779897351476,1.06911946835,1.14551341269,1.2161926456,1.26606977842,1.35677714874,0.00830107410696
a_subj(groupA).30,1.58032106578,0.091968646251,1.41760961157,1.52104460272,1.58220802927,1.62939380095,1.79782287093,0.00970369583357
a_subj(groupA).31,2.53986132304,0.172741460013,2.21117628951,2.42660778459,2.53630505528,2.65592359981,2.90632511876,0.0176333811863
a_subj(groupA).32,0.986995172283,0.0597721356576,0.877834057628,0.949155362508,0.985696940414,1.01849961877,1.12275525028,0.00600212429032
a_subj(groupA).33,2.63488616916,0.197104542709,2.26356072107,2.47803584038,2.62941811387,2.77253319326,2.99120451344,0.0199728762578
a_subj(groupA).34,0.726531399587,0.0441073145307,0.647826701352,0.69433281494,0.725471629242,0.752978770843,0.821074615647,0.00439341065952
a_subj(groupA).35,1.26575690154,0.0825445549819,1.11099984428,1.20957904799,1.25933321368,1.32430306229,1.43083051985,0.0077001538858
a_subj(groupA).36,0.586764114586,0.0350189878902,0.528455823497,0.562844471343,0.583537474763,0.607184834389,0.656968497692,0.00360172322604
a_subj(groupA).37,3.27875369585,0.242551911512,2.87272165109,3.08708905256,3.25005370404,3.45785676796,3.77319698307,0.0244425471384
a_subj(groupA).38,2.48023652216,0.181441400159,2.20038286054,2.35087947896,2.46597295982,2.60621141402,2.86650936937,0.0176600080902
a_subj(groupA).39,2.2580562037,0.169207503651,1.96866016251,2.13939352697,2.25403633514,2.36466822513,2.56209539857,0.016769388795
a_subj(groupA).40,2.78092803853,0.164612518846,2.4965157076,2.65717138777,2.78541225517,2.89133347331,3.12359353821,0.0158580496637
a_subj(groupA).41,3.02133345373,0.227316172826,2.58096708586,2.85810651263,3.01694654296,3.18322099598,3.43526958357,0.019950062506
a_subj(groupA).42,1.69854998058,0.132433081909,1.45258797148,1.59957911062,1.69739666002,1.79099484746,1.97016682355,0.0135726454216
a_subj(groupA).43,1.73221029093,0.100541456344,1.55724425129,1.66724461989,1.73388732591,1.80226989304,1.98960476252,0.00994981307121
a_subj(groupA).44,1.42370788572,0.0931673061344,1.2452170642,1.36628409552,1.42692994998,1.49102470591,1.60334572792,0.00908925897987
a_subj(groupA).45,2.06538011572,0.145966425214,1.78756877714,1.96928906209,2.05809168553,2.15477468777,2.39223369421,0.0140159793604
a_subj(groupA).46,2.31887217815,0.174988281871,2.02009260655,2.20615899224,2.32327444112,2.41843757951,2.71441249188,0.0166672312505
a_subj(groupA).47,3.34931438262,0.242882790682,2.93768017256,3.16010907103,3.31918286771,3.49998992306,3.84143275301,0.0203617605682
a_subj(groupA).48,2.6675836492,0.197408329561,2.31382289701,2.536718552,2.65369301642,2.77307413216,3.14054098803,0.0202438447881
a_subj(groupA).49,1.57869380745,0.103217508969,1.38273612877,1.50290088721,1.58988551217,1.64646811293,1.8009880534,0.00979101568426
a_subj(groupA).50,2.65140186376,0.173423641036,2.3505134528,2.53590042327,2.64742696446,2.75778885302,3.06434523714,0.0170755811777
a_subj(groupA).51,4.83583978372,0.429645138826,3.98898856877,4.52732939003,4.82766530355,5.1814849087,5.58411262803,0.0455213430345
a_subj(groupA).52,1.17379387771,0.0664011998053,1.0411979207,1.1284838738,1.16994462024,1.21147860688,1.31028422414,0.00715348174151
a_subj(groupA).53,2.87828034874,0.233922437157,2.36478789166,2.75206808686,2.87534347174,3.01592350967,3.28797469304,0.0219857602723
a_subj(groupA).54,0.241067298163,0.0154344741566,0.211921688092,0.231118584875,0.240941544442,0.251001848515,0.27226707095,0.00153189834243
a_subj(groupA).55,1.2752505975,0.0842574914283,1.12329429257,1.21989989595,1.26845431094,1.32177489713,1.48873400227,0.00765665592987
a_subj(groupA).56,2.09395078489,0.155589868816,1.79686559234,1.99035414545,2.07355518115,2.18326736205,2.46026002862,0.0155007207626
a_subj(groupA).57,2.5708395485,0.151295250744,2.31753480478,2.45181364059,2.56198183872,2.67590834866,2.86243871245,0.0149914088908
a_subj(groupA).58,1.73225285403,0.109245489879,1.55003458095,1.65305691562,1.72600198205,1.80139454204,1.95121871459,0.0109558347099
a_subj(groupA).59,0.656384313925,0.0364405376007,0.588899325222,0.631585428563,0.654898167962,0.679369710556,0.728759379707,0.00352523668178
a_subj(groupA).60,2.77500322733,0.185140717689,2.43741138225,2.65724512265,2.76522563346,2.88728179176,3.11641149676,0.0180850691301
a_subj(groupA).61,3.21074373567,0.204518656539,2.83622722366,3.08144107283,3.19676478145,3.34759950486,3.64564474105,0.023303530249
a_subj(groupA).62,3.92846860074,0.299381386249,3.28219163407,3.74392242566,3.92856704208,4.1418325956,4.53197441448,0.0282213772512
a_subj(groupA).63,3.23453250851,0.246906548023,2.6913293414,3.08068966254,3.26534679245,3.37982596343,3.70417760241,0.0269032806286
a_subj(groupA).64,0.791865474972,0.051664299605,0.694566601988,0.7540903592,0.796468088171,0.826041349599,0.902904486114,0.00535162164514
a_subj(groupA).65,2.46305174466,0.168988549547,2.17140570753,2.34368234038,2.45286386181,2.55910470567,2.85003638556,0.0173663216126
a_subj(groupA).66,0.406970470248,0.0317786068063,0.356509218145,0.383152605743,0.402788203216,0.43216208075,0.464026041053,0.00323920249916
a_subj(groupA).67,2.3199837694,0.16632956706,1.9999557586,2.19300473855,2.3153454331,2.43065311911,2.64783092665,0.0167242589361
a_subj(groupA).68,2.05121167752,0.120353456493,1.81574725589,1.96179175785,2.05653971357,2.12002033115,2.29341119917,0.0126087237396
a_subj(groupA).69,3.85156080612,0.313609458709,3.24888529922,3.63498568687,3.85457082592,4.05278756589,4.4819389508,0.0317193289081
a_subj(groupA).70,1.53185531459,0.112669282619,1.34353208325,1.44238030935,1.53378272451,1.61145877945,1.76341802238,0.0114867071898
a_subj(groupA).71,2.69623216728,0.179763868172,2.32946910084,2.57918913232,2.69653373281,2.8169815934,3.06999964646,0.0171780103681
a_subj(groupA).72,2.00852619378,0.129944218586,1.7879029016,1.89754263526,2.00245213347,2.08681097692,2.27851965602,0.0122275875111
a_subj(groupA).73,1.70745451084,0.0910427744324,1.5209041416,1.65307967712,1.70520728997,1.76491598714,1.87679705417,0.00913975849219
a_subj(groupA).74,1.68358392783,0.101268653556,1.49482239461,1.61706280316,1.67969130546,1.74208724119,1.89042844537,0.0103863519312
a_subj(groupA).75,2.18718683909,0.159912676024,1.90302148034,2.09109205604,2.18518258134,2.27126829413,2.54447779817,0.0161013792633
a_subj(groupA).76,3.02750952771,0.21818222727,2.59450981144,2.8847386001,3.04549048368,3.16765265654,3.45415314106,0.0222444876089
a_subj(groupA).77,3.12986622775,0.252417071881,2.66457177706,2.95535701355,3.13614330723,3.31525328814,3.62660712568,0.0258980963779
a_subj(groupA).78,1.55749637831,0.0919599007202,1.40460704027,1.48883354231,1.54934492587,1.62054943793,1.74491400507,0.00811858047516
a_subj(groupA).79,2.27758376073,0.169072747162,1.93156134928,2.15532194999,2.28835709086,2.39765441638,2.58543419785,0.0182746538892
a_subj(groupA).80,1.32076294872,0.0798120475193,1.18974151338,1.26454549235,1.323263129,1.36767475784,1.48017029573,0.00863110411015
a_subj(groupA).81,2.96291603789,0.216614537509,2.55733076114,2.80950614408,2.95988271316,3.10449156797,3.41079737594,0.0207015836725
a_subj(groupA).82,1.45636797371,0.0824831763476,1.30722292344,1.39888800922,1.45176905257,1.51967840414,1.60768343255,0.00785652653433
a_subj(groupA).83,3.62533849231,0.288589688222,3.04058869578,3.4521920705,3.61891434199,3.78846173306,4.18046600697,0.0310411313465
a_subj(groupA).84,1.22818510873,0.0728491471832,1.09737950579,1.17513407979,1.22382704639,1.28018131685,1.36723156838,0.00701616837942
a_subj(groupA).85,2.26792159075,0.142654936889,1.98347919174,2.16969943538,2.26565559363,2.37041238426,2.52722874803,0.014949563136
a_subj(groupA).86,3.46577172203,0.258656825057,3.01208284217,3.2796946953,3.46813069947,3.61205366654,3.94238022783,0.0239344635324
a_subj(groupA).87,0.317011308968,0.019660225495,0.2809793393,0.304181189018,0.3157726615,0.328457296829,0.360920628418,0.00194126801308
a_subj(groupA).88,2.43487296666,0.164138345505,2.13852598245,2.32829870622,2.40934404201,2.5573383279,2.74734410912,0.0161245883656
a_subj(groupA).89,2.46298206903,0.194131562143,2.13626318262,2.31798184167,2.44850444417,2.58524010325,2.87919910969,0.0173567432676
a_subj(groupA).90,1.91189202077,0.15559255785,1.6205712111,1.80100949535,1.92437882824,2.03381326113,2.20259076755,0.015139459955
a_subj(groupA).91,0.574898932313,0.0396739387961,0.499550231206,0.54600843053,0.5762099915,0.598001600049,0.651180920653,0.00398461720648
a_subj(groupA).92,1.23652971651,0.0768413724067,1.10092333355,1.18344692555,1.2239794399,1.2894040886,1.38634480177,0.00789523206188
a_subj(groupA).93,1.81401501766,0.0940922719942,1.62503881588,1.74533401045,1.81675280718,1.87110576636,1.98617828341,0.00967938152535
a_subj(groupA).94,3.26305484815,0.232665704487,2.88416179141,3.08854664833,3.24621662224,3.40403633341,3.78337023596,0.0222795916308
a_subj(groupA).95,2.69109273807,0.175964231137,2.37353919958,2.56070385556,2.69209064944,2.80247010994,3.01680364737,0.0182797558867
a_subj(groupA).96,1.96463282221,0.145744695383,1.68239396035,1.86187678828,1.94961477014,2.08677090856,2.2147319647,0.0143573671911
a_subj(groupA).97,1.10518813411,0.0813320560922,0.957677148807,1.05244645217,1.1046991455,1.15127554559,1.26676181742,0.00825531852643
a_subj(groupA).98,3.28711023821,0.202367439329,2.94552875364,3.14320283219,3.29213858509,3.45049681954,3.6828211596,0.0187045512568
a_subj(groupA).99,2.10102237163,0.143952873716,1.82952706797,2.00174179218,2.10091299943,2.21390766839,2.37920784674,0.0150898005972
a_subj(groupA).100,0.771908110442,0.0506276361329,0.689009756339,0.734064503092,0.768254875955,0.80010188695,0.880198439933,0.00530537338789
